96799,-7.209975,-170.7716,PAGO PAGO,AS,AMERICAN SAMOA
96941,7.138297,151.503116,POHNPEI,FM,FEDERATED STATES OF MICRO
96942,7.138297,151.503116,CHUUK,FM,FEDERATED STATES OF MICRO
96943,7.138297,151.503116,YAP,FM,FEDERATED STATES OF MICRO
96944,7.138297,151.503116,KOSRAE,FM,FEDERATED STATES OF MICRO
96940,7.225664,134.362169,PALAU,PW,PALAU
96960,11.140496,166.410291,MAJURO,MH,MARSHALL ISLANDS
96970,11.140496,166.410291,EBEYE,MH,MARSHALL ISLANDS
96910,13.444257,144.786297,HAGATNA,GU,GUAM
96911,13.444257,144.786297,TAMUNING,GU,GUAM
96912,13.444257,144.786297,DEDEDO,GU,GUAM
96913,13.444257,144.786297,BARRIGADA,GU,GUAM
96914,13.444257,144.786297,YONA,GU,GUAM
96915,13.444257,144.786297,SANTA RITA,GU,GUAM
96916,13.444257,144.786297,MERIZO,GU,GUAM
96917,13.444257,144.786297,INARAJAN,GU,GUAM
96918,13.444257,144.786297,UMATAC,GU,GUAM
96919,13.444257,144.786297,AGANA HEIGHTS,GU,GUAM
96921,13.444257,144.786297,BARRIGADA,GU,GUAM
96922,13.444257,144.786297,ASAN,GU,GUAM
96923,13.444257,144.786297,MANGILAO,GU,GUAM
96925,13.444257,144.786297,PITI,GU,GUAM
96926,13.444257,144.786297,SINAJANA,GU,GUAM
96927,13.444257,144.786297,MONGMONG,GU,GUAM
96928,13.444257,144.786297,AGAT,GU,GUAM
96929,13.444257,144.786297,YIGO,GU,GUAM
96930,13.444257,144.786297,TALOFOFO,GU,GUAM
96931,13.444257,144.786297,TAMUNING,GU,GUAM
96932,13.444257,144.786297,HAGATNA,GU,GUAM
96950,15.190135,145.740804,SAIPAN,MP,NORTHERN MARIANA ISLANDS
96951,15.190135,145.740804,ROTA,MP,NORTHERN MARIANA ISLANDS
96952,15.190135,145.740804,TINIAN,MP,NORTHERN MARIANA ISLANDS
00820,17.734211,-64.734694,CHRISTIANSTED,VI,SAINT CROIX
00821,17.734211,-64.734694,CHRISTIANSTED,VI,SAINT CROIX
